,Name,Date Added,Year,Last Played,Artist,Genre,Plays
0,A.D.H.D.,"7/6/15, 10:13 PM",2011.0,"6/27/17, 9:58 AM",Kendrick Lamar,Hip-Hop/Rap,21.0
1,About the Money (feat. Young Thug),"12/2/16, 1:24 AM",2014.0,"5/6/19, 12:21 PM",T.I.,Hip-Hop/Rap,18.0
2,Above the Clouds,"7/16/18, 12:08 AM",1998.0,"3/22/20, 3:27 PM",Gang Starr,Hip-Hop/Rap,29.0
3,Aces High (2015 Remastered Version),"4/15/19, 2:36 PM",1984.0,"3/21/20, 1:48 PM",Iron Maiden,Metal,19.0
4,Act Right (feat. Jeezy & YG),"3/4/15, 8:15 PM",2013.0,"3/2/17, 3:20 PM",Yo Gotti,Hip-Hop/Rap,38.0
5,Adam and Eve (feat. The-Dream),"6/19/18, 2:21 PM",2018.0,"2/3/20, 8:14 PM",Nas,Hip-Hop/Rap,22.0
6,Ain't No Mountain High Enough,"1/31/17, 1:01 PM",1967.0,"8/16/20, 1:52 PM",Marvin Gaye & Tammi Terrell,R&B/Soul,52.0
7,Alive (Nightmare),"10/15/15, 5:46 PM",2009.0,"10/5/16, 3:54 PM",Kid Cudi,Rap,29.0
8,Alive (Nightmare),"3/14/17, 11:24 PM",2009.0,"11/5/19, 4:34 PM",Kid Cudi,Hip-Hop/Rap,25.0
9,All Along the Watchtower,"3/4/17, 1:20 AM",1968.0,"6/14/20, 2:38 PM",Jimi Hendrix,Rock,48.0
10,All Gold Everything,"12/2/16, 1:23 AM",2012.0,"1/26/20, 2:28 PM",Trinidad James,Hip-Hop/Rap,22.0
11,All of the Lights,"1/30/15, 12:07 AM",2010.0,"9/24/19, 2:32 PM",Kanye West,Hip-Hop/Rap,42.0
12,All Right Now (Single Version),"3/29/18, 12:08 PM",1970.0,"11/28/19, 4:14 PM",Free,Rock,55.0
13,All Star,"1/7/20, 3:21 PM",1999.0,"8/16/20, 2:22 PM",Smash Mouth,Alternative,40.0
14,Alright,"9/30/15, 8:54 PM",2015.0,"8/14/16, 1:42 PM",Kendrick Lamar,Hip-Hop/Rap,34.0
15,Alright,"11/16/16, 9:51 PM",2015.0,"7/24/20, 3:15 PM",Kendrick Lamar,Hip-Hop/Rap,92.0
16,Amazing (feat. Young Jeezy),"7/1/17, 12:25 AM",2008.0,"10/20/18, 7:07 PM",Kanye West,Hip-Hop/Rap,22.0
17,Ambitionz Az a Ridah,"7/29/15, 9:36 PM",1996.0,"1/16/19, 11:15 PM",2Pac,Hip Hop/Rap,42.0
18,American Boy (feat. Kanye West),"10/24/18, 10:50 AM",2008.0,"2/19/20, 7:38 PM",Estelle,R&B/Soul,24.0
19,American Girl,"8/8/18, 1:48 PM",1976.0,"7/12/20, 12:44 PM",Tom Petty & The Heartbreakers,Rock,28.0
20,American Idiot,"3/14/17, 11:52 PM",2004.0,"6/19/18, 9:28 AM",Green Day,Alternative,20.0
21,American Pie (Full Length Version),"8/15/17, 11:26 AM",1971.0,"4/13/20, 7:08 PM",Don Mclean,Rock,98.0
22,Any Way You Want It,"1/11/20, 6:38 PM",1980.0,"8/22/20, 2:16 PM",Journey,Rock,21.0
23,Apparently,"11/1/16, 7:37 PM",2014.0,"1/21/17, 5:33 PM",J. Cole,Hip-Hop/Rap,18.0
24,"April 29, 1992 (Miami)","2/4/17, 7:30 AM",1996.0,"1/31/19, 11:43 AM",Sublime,Pop,19.0
25,Are You Gonna Be My Girl,"8/15/17, 12:40 PM",2003.0,"6/13/20, 1:23 PM",Jet,Rock,27.0
26,Baby I'm YoursÊ,"12/11/18, 8:44 PM",2010.0,"11/7/19, 5:59 PM",Breakbot,Electronic,18.0
27,Back In Black,"7/19/17, 12:23 PM",1980.0,"6/13/20, 1:04 PM",AC/DC,Hard Rock,27.0
28,Backseat Freestyle,"3/8/15, 12:12 AM",2013.0,"8/15/20, 8:09 PM",Kendrick Lamar,Hip Hop/Rap,71.0
29,Bad Moon Rising,"1/31/17, 10:03 PM",1969.0,"8/22/20, 2:23 PM",Creedence Clearwater Revival,Rock,94.0
30,Badfish,"9/3/16, 1:46 PM",1992.0,"8/13/20, 6:17 PM",Sublime,Alternative,110.0
31,"Band on the Run (From ""One Hand Clapping"")","2/7/17, 1:21 AM",1973.0,"11/21/19, 2:09 PM",Paul McCartney & Wings,Rock,37.0
32,Bank Account,"9/14/17, 5:22 PM",2017.0,"5/19/19, 1:07 PM",21 Savage,Hip-Hop/Rap,27.0
33,Basket Case,"3/15/17, 12:52 AM",1994.0,"3/15/20, 12:44 PM",Green Day,Alternative,84.0
34,Beast of Burden,"4/20/19, 8:20 PM",1978.0,"8/15/20, 12:17 PM",The Rolling Stones,Rock,107.0
35,Been Getting Money,"10/16/15, 5:14 PM",2014.0,"10/5/16, 3:58 PM",Jeezy,Rap,34.0
36,Better Together,"9/3/18, 10:38 PM",2005.0,"8/2/20, 5:24 PM",Jack Johnson,Rock,32.0
37,"Bitch, Dont Kill My Vibe","3/7/15, 11:12 PM",2013.0,"7/24/19, 12:48 PM",Kendrick Lamar,Hip Hop/Rap,42.0
38,"Bitch, Dont Kill My Vibe (feat. JAY Z) [Remix]","3/8/15, 12:12 AM",2013.0,"8/21/20, 2:50 PM",Kendrick Lamar,Hip-Hop/Rap,58.0
39,Black Hole Sun,"6/30/16, 2:52 PM",1994.0,"3/9/20, 12:50 PM",Soundgarden,Hard Rock,26.0
40,Black Smoke Rising,"9/28/18, 10:55 PM",2017.0,"6/12/20, 3:18 PM",Greta Van Fleet,Rock,36.0
41,Bleed It,"4/18/19, 3:20 PM",2019.0,"8/2/20, 5:55 PM",Blueface,Hip-Hop/Rap,30.0
42,Blood Diamonds,"5/31/17, 8:24 PM",2012.0,"10/14/18, 3:26 PM",The Game,Hip-Hop/Rap,25.0
43,Bohemian Rhapsody,"2/12/17, 11:00 PM",1975.0,"6/21/20, 1:59 PM",Queen,Rock,47.0
44,Both (feat. Drake),"12/23/16, 1:58 AM",2016.0,"10/20/18, 7:19 PM",Gucci Mane,Hip-Hop/Rap,26.0
45,Boulevard of Broken Dreams,"11/27/16, 9:38 PM",2004.0,"5/30/18, 4:51 PM",Green Day,Alternative,18.0
46,Bounce It,"1/15/15, 10:59 PM",,"7/11/18, 10:40 AM",Juicy J,Hip Hop/Rap,52.0
47,The Boys Are Back In Town,"6/2/18, 2:05 AM",1976.0,"6/14/20, 3:23 PM",Thin Lizzy,Hard Rock,51.0
48,Boyz-N-The Hood (Remix),"5/24/12, 7:18 PM",1988.0,"2/9/19, 4:58 PM",Eazy-E,Hip Hop/Rap,22.0
49,The Breakup Song (They Don't Write 'Em),"7/6/18, 11:37 AM",1981.0,"6/14/20, 3:32 PM",Greg Kihn Band,Rock,29.0
50,Broccoli (feat. Lil Yachty),"10/25/16, 8:06 PM",2016.0,"11/19/19, 4:45 PM",DRAM,Hip-Hop/Rap,28.0
51,Brown Eyed Girl,"6/13/18, 12:04 PM",1967.0,"8/2/20, 4:57 PM",Van Morrison,Rock,64.0
52,Bullet With Butterfly Wings,"6/27/17, 1:25 PM",1995.0,"10/7/18, 6:19 PM",Smashing Pumpkins,Hard Rock,21.0
53,C.R.E.A.M.,"2/7/15, 8:58 PM",1993.0,"1/7/19, 4:59 PM",Wu-Tang Clan,Hip Hop/Rap,37.0
54,California,"9/15/16, 6:20 PM",2016.0,"6/21/17, 3:54 PM",Fashawn,Hip-Hop/Rap,28.0
55,California Love,"7/6/15, 8:37 PM",,"8/31/18, 12:13 PM",Tupac,,20.0
56,Californication,"6/30/16, 1:51 PM",1999.0,"1/15/20, 9:35 PM",Red Hot Chili Peppers,Alternative,20.0
57,Can't Be Saved,"2/24/17, 2:44 PM",2006.0,"1/15/20, 9:53 PM",Senses Fail,Alternative,30.0
58,Can't Tell Me Nothing,"7/7/15, 9:11 PM",2007.0,"5/7/19, 1:48 PM",Kanye West,Hip-Hop/Rap,31.0
59,Caress Me Down,"2/4/17, 8:30 AM",1996.0,"8/16/20, 11:54 AM",Sublime,Alternative,86.0
60,Caroline,"9/1/16, 3:03 AM",2016.0,"3/22/17, 11:40 PM",Amin,Hip-Hop/Rap,19.0
61,Carry On Wayward Son,"2/16/17, 1:56 PM",1976.0,"3/22/20, 3:08 PM",Kansas,Rock,83.0
62,Cartoons and Cereal,"9/30/15, 7:52 PM",,"6/10/18, 4:37 PM",Kendrick Lamar,,30.0
63,Cashin' Out,"9/22/16, 12:06 AM",2012.0,"7/11/19, 10:51 PM",Ca$h Out,Hip-Hop/Rap,26.0
64,"Celebration (feat. Chris Brown, Tyga, Wiz Khalifa & Lil Wayne)","5/31/17, 8:24 PM",2012.0,"7/27/18, 2:21 PM",The Game,Hip-Hop/Rap,24.0
65,Centerfold,"3/21/17, 10:55 AM",1981.0,"6/11/18, 12:53 PM",The J. Geils Band,Pop,22.0
66,A Change is Gonna Come,"1/9/19, 8:53 PM",2017.0,"6/12/20, 4:38 PM",Greta Van Fleet,Rock,37.0
67,Check Yo Self,"5/9/19, 1:49 PM",1992.0,"4/27/20, 7:25 PM",Ice Cube,Hip-Hop/Rap,25.0
68,Cherub Rock,"4/6/17, 1:33 AM",1993.0,"10/23/18, 5:50 PM",Smashing Pumpkins,Rock,74.0
69,China Town,"7/8/15, 8:43 PM",,"11/12/16, 2:34 PM",Migos,,21.0
70,Cliffs of Dover,"8/16/17, 2:52 PM",1990.0,"8/2/20, 5:21 PM",Eric Johnson,Rock,184.0
71,Cold As Ice,"6/25/19, 2:45 PM",1977.0,"3/1/20, 2:45 PM",Foreigner,Rock,20.0
72,Collard Greens,"7/7/15, 9:48 PM",,"1/12/18, 12:51 PM",ScHoolboy Q,,18.0
73,Come On Eileen (Single Edit),"9/3/18, 11:01 PM",1982.0,"8/16/20, 1:22 PM",Dexys Midnight Runners,Alternative,98.0
74,Complexion (A Zulu Love) [feat. Rapsody],"10/25/16, 4:57 PM",2015.0,"7/12/18, 1:50 PM",Kendrick Lamar,Hip-Hop/Rap,21.0
75,Compton (feat. Dr. Dre),"3/7/15, 11:12 PM",2013.0,"1/16/20, 2:47 PM",Kendrick Lamar,Hip-Hop/Rap,28.0
76,Congratulations (feat. Quavo),"5/22/17, 7:05 PM",2016.0,"7/12/20, 8:22 PM",Post Malone,Hip-Hop/Rap,51.0
77,Control,"3/20/16, 10:23 AM",,"4/21/19, 5:36 PM",Big Sean,,33.0
78,Crazy On You,"7/19/17, 12:21 PM",1976.0,"3/15/20, 4:52 PM",Heart,Rock,21.0
79,Crazy Train,"10/27/17, 12:21 PM",1980.0,"1/26/20, 2:47 PM",Ozzy Osbourne,Hard Rock,32.0
80,Cult of Personality,"10/8/15, 9:51 PM",,"9/4/19, 3:01 PM",Living Colour,,35.0
81,Cum On Feel the Noize,"5/21/17, 3:53 PM",1983.0,"6/13/20, 1:41 PM",Quiet Riot,Hard Rock,68.0
82,Cut It (feat. Young Dolph),"9/20/16, 1:00 PM",2015.0,"8/2/20, 6:11 PM",O.T. Genasis,Hip-Hop/Rap,44.0
83,D.J.'s,"3/13/17, 11:55 AM",1992.0,"11/9/19, 5:38 PM",Sublime,Alternative,111.0
84,Dammit,"4/11/17, 11:06 AM",1997.0,"8/30/19, 6:55 PM",blink-182,Pop,46.0
85,Dancing In the Moonlight (Original Recording),"3/14/19, 12:22 PM",1972.0,"6/21/20, 12:11 PM",King Harvest,Rock,50.0
86,Day 'n' Nite,"5/26/09, 3:22 PM",2009.0,"12/5/16, 9:05 PM",Kid Cudi,Hip-Hop/Rap,30.0
87,Dead!,"4/30/17, 12:50 AM",2006.0,"3/17/20, 1:44 PM",My Chemical Romance,Alternative,50.0
88,DEVASTATED,"8/16/16, 11:33 PM",2017.0,"4/16/19, 4:10 PM",Joey Bada$$,Hip-Hop/Rap,73.0
89,The Devil is a Lie,"3/10/15, 11:05 PM",,"6/24/19, 3:51 PM",Rick Ross,Hip Hop/Rap,27.0
90,Digits,"5/31/16, 8:18 PM",2016.0,"9/4/18, 1:40 PM",Young Thug,Hip-Hop,58.0
91,DNA.,"4/13/17, 8:52 PM",2017.0,"9/14/19, 6:15 PM",Kendrick Lamar,Hip-Hop/Rap,61.0
92,Do I Wanna Know?,"8/15/17, 12:30 PM",2013.0,"8/23/19, 8:06 PM",Arctic Monkeys,Alternative,30.0
93,Doin' Time,"2/4/17, 8:30 AM",1996.0,"11/18/19, 5:51 PM",Sublime,Alternative,59.0
94,Don't Bring Me Down,"2/27/18, 11:14 PM",1979.0,"12/13/19, 1:03 PM",Electric Light Orchestra,Rock,19.0
95,Don't Stop Me Now,"5/7/18, 3:25 PM",1978.0,"6/4/20, 11:55 AM",Queen,Rock,115.0
96,"DonÕt Trip (feat. Ice Cube, Dr. Dre & will.i.am)","10/8/15, 10:28 PM",2015.0,"10/23/19, 8:50 PM",The Game,Hip-Hop/Rap,47.0
97,Down On the Corner,"1/31/17, 10:06 PM",1969.0,"3/5/20, 1:59 PM",Creedence Clearwater Revival,Rock,84.0
98,Down Under,"9/16/18, 8:32 PM",1981.0,"2/26/20, 2:37 PM",Men At Work,Rock,34.0
99,Dream On,"8/3/15, 9:30 PM",,"3/2/20, 3:37 PM",Aerosmith,,20.0
100,El Chapo (Bonus Track),"10/14/15, 10:39 PM",2015.0,"1/16/19, 7:18 PM",The Game & Skrillex,Hip Hop/Rap,30.0
101,ELEMENT.,"4/13/17, 7:52 PM",2017.0,"9/15/18, 6:05 PM",Kendrick Lamar,Hip-Hop/Rap,21.0
102,End of the Line,"2/26/19, 12:21 AM",1988.0,"8/15/20, 12:09 PM",The Traveling Wilburys,Rock,23.0
103,Erase Me (feat. Kanye West),"7/30/15, 12:50 AM",2010.0,"7/12/20, 8:39 PM",Kid Cudi & Kanye West,Hip-Hop/Rap,61.0
104,Even Flow,"8/15/17, 2:25 PM",1991.0,"3/15/20, 5:48 PM",Pearl Jam,Alternative,23.0
105,Everything I Am (feat. DJ Premier),"10/15/15, 11:52 AM",2007.0,"12/3/16, 3:06 PM",Kanye West & DJ Premier,Hip-Hop/Rap,23.0
106,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","6/30/17, 10:45 AM",2013.0,"6/24/19, 3:45 PM",A$AP Rocky,Hip-Hop/Rap,23.0
107,Family Business,"10/15/15, 6:26 PM",2004.0,"2/28/17, 12:36 AM",Kanye West,Rap,28.0
108,Family Business,"10/25/16, 4:55 PM",2004.0,"8/18/19, 10:57 PM",Kanye West,Hip-Hop/Rap,45.0
109,Fandango,"10/3/14, 9:46 PM",2005.0,"4/20/19, 7:42 PM",DJ Quik,Hip-Hop/Rap,114.0
110,Fast Lane,"6/9/12, 10:48 AM",2011.0,"2/25/17, 4:36 PM",Bad Meets Evil,Hip Hop/Rap,44.0
111,Fat Bottomed Girls (Single Version),"11/17/17, 1:57 PM",1978.0,"3/15/20, 4:30 PM",Queen,Rock,48.0
112,Fat Lip,"9/3/16, 1:48 PM",2001.0,"4/6/20, 12:53 PM",Sum 41,Alternative,51.0
113,Faucet Failure,"2/1/19, 5:49 PM",2018.0,"11/25/19, 5:11 PM",Ski Mask the Slump God,Hip-Hop/Rap,24.0
114,Favorite Song,"4/30/15, 9:30 PM",,"8/7/19, 6:13 PM",Chance the Rapper,,69.0
115,Feds Watching,"7/7/15, 11:42 PM",,"2/6/18, 3:43 PM",2 Chainz,,22.0
116,Feel So Good,"6/17/18, 9:52 PM",1997.0,"2/14/20, 3:05 PM",Mase,R&B/Soul,20.0
117,FEEL.,"4/13/17, 8:52 PM",2017.0,"9/26/19, 12:21 AM",Kendrick Lamar,Hip-Hop/Rap,63.0
118,Flashing Lights,"10/15/15, 11:52 AM",2007.0,"3/14/20, 4:39 PM",Kanye West,Hip Hop/Rap,76.0
119,Float On,"3/5/17, 4:29 PM",2004.0,"11/3/19, 12:32 PM",Modest Mouse,Alternative,41.0
120,Forever Young,"1/31/17, 9:38 PM",1974.0,"2/28/20, 7:28 PM",Bob Dylan,Rock,32.0
121,Fortunate Son,"1/31/17, 10:01 PM",1969.0,"2/17/20, 2:40 PM",Creedence Clearwater Revival,Rock,60.0
122,Free Bird,"2/1/17, 12:07 AM",1999.0,"3/15/20, 4:23 PM",Lynyrd Skynyrd,Rock,42.0
123,From Adam (feat. Lil Wayne),"10/15/15, 8:02 PM",2015.0,"8/23/19, 8:16 PM",The Game,Hip-Hop/Rap,36.0
124,Ghetto Dreams (feat. Nas),"5/8/12, 5:11 PM",2011.0,"5/7/18, 5:38 PM",Common,Hip-Hop/Rap,53.0
125,Gimme the Loot,"6/30/17, 10:45 AM",1994.0,"3/14/20, 4:35 PM",The Notorious B.I.G.,Hip-Hop/Rap,56.0
126,GOD.,"4/13/17, 7:52 PM",2017.0,"1/21/20, 12:31 PM",Kendrick Lamar,Hip-Hop/Rap,87.0
127,Going On,"7/2/16, 12:40 PM",2008.0,"1/18/17, 7:07 PM",Gnarls Barkley,Alternative,22.0
128,Going Up the Country,"11/26/18, 12:15 AM",1972.0,"3/17/20, 5:34 PM",Canned Heat,Rock,70.0
129,Gold Digger (feat. Jamie Foxx),"5/26/09, 4:23 PM",2005.0,"8/21/20, 3:08 PM",Kanye West,Hip Hop/Rap,81.0
130,Goldie,"6/30/17, 10:45 AM",2012.0,"3/13/20, 1:13 PM",A$AP Rocky,Hip-Hop/Rap,28.0
131,Gone (feat. Consequence & Cam'ron),"10/25/16, 4:54 PM",2005.0,"8/2/20, 6:00 PM",Kanye West,Hip-Hop/Rap,51.0
132,Good Life (feat. T-Pain),"10/15/15, 10:52 AM",2007.0,"8/6/17, 3:35 PM",Kanye West & T-Pain,Hip-Hop/Rap,20.0
133,Good Morning,"10/15/15, 10:52 AM",2007.0,"11/5/19, 4:18 PM",Kanye West,Hip-Hop/Rap,70.0
134,Good Night (Bonus Track),"10/15/15, 10:52 AM",2007.0,"10/5/19, 2:41 PM","Kanye West, Mos Def & Al Be Back",Hip Hop/Rap,74.0
135,Good Riddance (Time of Your Life),"3/5/17, 10:37 PM",1997.0,"10/30/18, 1:24 PM",Green Day,Alternative,22.0
136,Good Times Roll,"11/25/17, 12:08 PM",1978.0,"11/2/19, 12:39 PM",The Cars,Rock,18.0
137,goosebumps,"11/5/16, 7:00 PM",2016.0,"8/4/17, 8:16 AM",Travis Scott,Hip-Hop/Rap,18.0
